iter	Passed	Remaining
0	142	142516
1	143	71558
2	144	47883
3	145	36125
4	146	29085
5	147	24414
6	148	21083
7	149	18576
8	150	16607
9	151	15032
10	152	13750
11	154	12687
12	155	11795
13	156	11017
14	157	10345
15	158	9754
16	159	9238
17	160	8778
18	162	8368
19	163	7995
20	164	7658
21	165	7341
22	166	7066
23	167	6813
24	168	6582
25	170	6371
26	171	6177
27	172	5992
28	173	5818
29	175	5658
30	176	5511
31	177	5371
32	178	5243
33	180	5119
34	181	5003
35	182	4895
36	184	4795
37	185	4699
38	187	4609
39	188	4522
40	189	4433
41	190	4353
42	192	4278
43	194	4222
44	195	4142
45	196	4066
46	197	4008
47	198	3940
48	199	3875
49	200	3812
50	202	3776
51	204	3737
52	205	3678
53	206	3623
54	207	3567
55	208	3515
56	209	3463
57	210	3412
58	211	3365
59	211	3317
60	212	3271
61	213	3227
62	214	3184
63	215	3145
64	215	3105
65	216	3066
66	217	3028
67	218	2991
68	219	2956
69	219	2921
70	220	2887
71	221	2854
72	222	2822
73	222	2789
74	223	2758
75	224	2728
76	225	2698
77	225	2668
78	226	2639
79	227	2612
80	227	2585
81	228	2559
82	229	2533
83	229	2507
84	230	2483
85	231	2458
86	232	2434
87	232	2412
88	233	2390
89	234	2368
90	235	2348
91	235	2326
92	236	2305
93	237	2286
94	237	2266
95	238	2248
96	239	2229
97	240	2210
98	240	2190
99	241	2172
100	242	2154
101	242	2137
102	243	2120
103	244	2103
104	244	2086
105	245	2070
106	246	2054
107	246	2039
108	247	2024
109	248	2010
110	249	1995
111	249	1980
112	250	1966
113	251	1952
114	251	1938
115	252	1924
116	253	1910
117	253	1896
118	254	1883
119	255	1870
120	255	1857
121	256	1844
122	256	1831
123	257	1819
124	258	1807
125	258	1795
126	259	1783
127	260	1772
128	260	1761
129	261	1750
130	262	1739
131	262	1728
132	263	1717
133	264	1706
134	264	1695
135	265	1684
136	265	1674
137	266	1664
138	267	1654
139	267	1644
140	268	1635
141	269	1626
142	269	1615
143	270	1606
144	270	1596
145	271	1587
146	272	1578
147	272	1569
148	273	1560
149	273	1551
150	274	1543
151	274	1533
152	275	1525
153	276	1517
154	276	1508
155	277	1500
156	278	1493
157	278	1484
158	279	1476
159	279	1469
160	280	1460
161	280	1451
162	281	1443
163	281	1436
164	282	1428
165	282	1421
166	283	1414
167	284	1407
168	284	1400
169	285	1393
170	286	1387
171	286	1379
172	287	1372
173	287	1364
174	287	1357
175	288	1351
176	289	1344
177	289	1339
178	290	1332
179	291	1326
180	291	1320
181	292	1314
182	293	1308
183	293	1302
184	294	1295
185	294	1289
186	295	1283
187	295	1278
188	296	1271
189	297	1266
190	297	1260
191	298	1255
192	298	1248
193	299	1242
194	299	1236
195	299	1229
196	300	1223
197	300	1218
198	301	1212
199	301	1205
200	302	1200
201	302	1195
202	303	1190
203	303	1185
204	304	1181
205	304	1175
206	305	1170
207	306	1165
208	306	1160
209	307	1155
210	307	1151
211	308	1146
212	308	1141
213	309	1136
214	309	1131
215	310	1126
216	310	1122
217	311	1116
218	311	1112
219	312	1107
220	312	1102
221	313	1097
222	313	1093
223	314	1089
224	314	1084
225	315	1080
226	315	1075
227	316	1071
228	317	1067
229	317	1062
230	318	1059
231	318	1054
232	319	1050
233	319	1046
234	320	1042
235	320	1038
236	321	1033
237	321	1030
238	322	1025
239	322	1022
240	323	1018
241	323	1013
242	323	1008
243	324	1005
244	324	1001
245	325	997
246	325	992
247	325	988
248	326	984
249	326	979
250	327	976
251	327	973
252	328	969
253	328	965
254	329	962
255	330	959
256	330	956
257	331	952
258	331	948
259	331	944
260	332	940
261	332	937
262	333	933
263	333	929
264	333	926
265	334	922
266	335	920
267	335	916
268	336	913
269	336	910
270	337	907
271	337	904
272	338	900
273	338	897
274	339	894
275	339	891
276	340	889
277	341	886
278	341	883
279	342	880
280	343	878
281	343	874
282	344	871
283	344	868
284	345	865
285	345	863
286	346	860
287	347	858
288	347	855
289	348	852
290	348	849
291	349	846
292	349	843
293	350	841
294	350	838
295	351	835
296	351	832
297	352	829
298	352	826
299	353	824
300	353	821
301	354	819
302	355	816
303	355	813
304	355	810
305	356	807
306	356	805
307	357	802
308	357	800
309	358	797
310	358	794
311	359	792
312	359	789
313	360	787
314	361	785
315	361	782
316	362	780
317	362	778
318	363	776
319	364	774
320	364	771
321	365	769
322	366	767
323	366	764
324	367	762
325	367	760
326	368	758
327	369	756
328	369	753
329	370	751
330	370	749
331	371	747
332	372	745
333	372	743
334	373	741
335	374	739
336	374	737
337	375	735
338	375	732
339	376	731
340	377	728
341	377	726
342	378	724
343	379	722
344	379	721
345	380	719
346	381	717
347	381	715
348	382	713
349	382	711
350	383	709
351	383	706
352	384	704
353	385	703
354	385	701
355	386	699
356	387	697
357	387	695
358	388	693
359	388	691
360	389	689
361	390	687
362	390	686
363	391	684
364	392	682
365	392	680
366	393	678
367	394	676
368	394	675
369	395	673
370	396	671
371	396	669
372	397	668
373	398	666
374	398	664
375	399	662
376	400	661
377	400	659
378	401	657
379	401	655
380	402	654
381	403	652
382	403	650
383	404	649
384	405	647
385	405	645
386	406	644
387	407	642
388	407	640
389	408	638
390	409	637
391	409	635
392	410	634
393	411	632
394	411	630
395	412	628
396	412	627
397	413	625
398	414	624
399	414	622
400	415	620
401	416	619
402	416	617
403	417	615
404	418	614
405	418	612
406	419	610
407	420	609
408	420	607
409	421	606
410	422	604
411	422	603
412	423	601
413	423	600
414	424	598
415	425	597
416	425	595
417	426	593
418	427	592
419	427	590
420	428	589
421	429	587
422	429	586
423	430	584
424	431	583
425	431	581
426	432	580
427	432	578
428	433	577
429	434	575
430	434	574
431	435	572
432	436	571
433	436	569
434	437	568
435	437	566
436	438	565
437	439	563
438	439	562
439	440	560
440	441	559
441	441	557
442	442	556
443	443	554
444	443	553
445	444	551
446	444	550
447	445	549
448	446	547
449	446	546
450	447	544
451	448	543
452	448	541
453	449	540
454	450	539
455	450	537
456	451	536
457	451	534
458	452	533
459	453	531
460	453	530
461	454	529
462	454	527
463	455	526
464	455	524
465	456	523
466	457	521
467	457	520
468	458	518
469	458	517
470	459	516
471	460	514
472	460	513
473	461	511
474	461	510
475	462	509
476	463	507
477	463	506
478	464	505
479	465	503
480	465	502
481	466	501
482	466	499
483	467	498
484	468	497
485	468	495
486	469	494
487	470	493
488	470	491
489	471	490
490	471	489
491	472	487
492	473	486
493	473	485
494	474	484
495	475	482
496	475	481
497	476	480
498	476	478
499	477	477
500	477	476
501	478	474
502	479	473
503	479	472
504	480	470
505	481	469
506	481	468
507	482	467
508	482	465
509	483	464
510	484	463
511	484	461
512	485	460
513	485	459
514	486	458
515	487	456
516	487	455
517	488	454
518	488	453
519	489	451
520	490	450
521	490	449
522	491	447
523	491	446
524	492	445
525	492	444
526	493	442
527	494	441
528	494	440
529	495	439
530	495	438
531	496	436
532	497	435
533	497	434
534	498	433
535	498	431
536	499	430
537	500	429
538	500	428
539	501	427
540	501	425
541	502	424
542	503	423
543	503	422
544	504	421
545	504	419
546	505	418
547	506	417
548	506	416
549	507	415
550	508	413
551	508	412
552	509	411
553	509	410
554	510	409
555	511	408
556	511	407
557	512	405
558	513	404
559	513	403
560	514	402
561	514	401
562	515	399
563	515	398
564	516	397
565	517	396
566	517	395
567	518	394
568	518	392
569	519	391
570	519	390
571	520	389
572	521	388
573	521	387
574	522	386
575	522	384
576	523	383
577	524	382
578	524	381
579	525	380
580	525	379
581	526	378
582	527	376
583	527	375
584	528	374
585	528	373
586	529	372
587	530	371
588	530	370
589	531	369
590	531	368
591	532	367
592	533	365
593	533	364
594	534	363
595	534	362
596	535	361
597	536	360
598	536	359
599	537	358
600	537	357
601	538	355
602	539	354
603	539	353
604	540	352
605	540	351
606	541	350
607	541	349
608	542	348
609	543	347
610	543	346
611	544	345
612	545	344
613	545	343
614	546	341
615	546	340
616	547	339
617	548	338
618	548	337
619	549	336
620	550	335
621	550	334
622	551	333
623	551	332
624	552	331
625	553	330
626	553	329
627	554	328
628	554	327
629	555	326
630	555	325
631	556	324
632	557	322
633	557	321
634	558	320
635	558	319
636	559	318
637	559	317
638	560	316
639	561	315
640	561	314
641	562	313
642	563	312
643	563	311
644	564	310
645	564	309
646	565	308
647	566	307
648	566	306
649	567	305
650	567	304
651	568	303
652	569	302
653	569	301
654	570	300
655	571	299
656	571	298
657	572	297
658	572	296
659	573	295
660	573	294
661	574	293
662	575	292
663	575	291
664	576	290
665	577	289
666	577	288
667	578	287
668	578	286
669	579	285
670	580	284
671	580	283
672	581	282
673	581	281
674	582	280
675	583	279
676	583	278
677	584	277
678	584	276
679	585	275
680	586	274
681	586	273
682	587	272
683	587	271
684	588	270
685	588	269
686	589	268
687	590	267
688	590	266
689	591	265
690	591	264
691	592	263
692	593	262
693	593	261
694	594	260
695	594	259
696	595	258
697	596	257
698	596	256
699	597	256
700	597	255
701	598	254
702	599	253
703	599	252
704	600	251
705	600	250
706	601	249
707	602	248
708	602	247
709	603	246
710	604	245
711	604	244
712	605	243
713	605	242
714	606	241
715	607	240
716	607	239
717	608	238
718	609	238
719	609	237
720	610	236
721	610	235
722	611	234
723	612	233
724	612	232
725	613	231
726	614	230
727	614	229
728	615	228
729	615	227
730	616	226
731	616	225
732	617	224
733	618	224
734	618	223
735	619	222
736	620	221
737	620	220
738	621	219
739	621	218
740	622	217
741	622	216
742	623	215
743	624	214
744	624	213
745	625	212
746	625	211
747	626	211
748	627	210
749	627	209
750	628	208
751	628	207
752	629	206
753	630	205
754	630	204
755	631	203
756	631	202
757	632	201
758	633	200
759	633	200
760	634	199
761	634	198
762	635	197
763	636	196
764	636	195
765	637	194
766	638	193
767	638	192
768	639	192
769	639	191
770	640	190
771	641	189
772	641	188
773	642	187
774	642	186
775	643	185
776	643	184
777	644	183
778	645	183
779	645	182
780	646	181
781	647	180
782	647	179
783	648	178
784	649	177
785	649	176
786	650	175
787	650	175
788	651	174
789	651	173
790	652	172
791	653	171
792	653	170
793	654	169
794	654	168
795	655	167
796	656	167
797	656	166
798	657	165
799	657	164
800	658	163
801	659	162
802	659	161
803	660	160
804	660	160
805	661	159
806	662	158
807	662	157
808	663	156
809	664	155
810	665	155
811	666	154
812	666	153
813	667	152
814	668	151
815	668	150
816	669	149
817	670	149
818	670	148
819	671	147
820	671	146
821	672	145
822	673	144
823	673	143
824	674	143
825	674	142
826	675	141
827	676	140
828	676	139
829	677	138
830	677	137
831	678	137
832	679	136
833	679	135
834	680	134
835	680	133
836	681	132
837	682	131
838	682	131
839	683	130
840	683	129
841	684	128
842	685	127
843	685	126
844	686	125
845	687	125
846	687	124
847	688	123
848	688	122
849	689	121
850	690	120
851	691	120
852	692	119
853	692	118
854	693	117
855	693	116
856	694	115
857	695	115
858	695	114
859	696	113
860	697	112
861	697	111
862	698	110
863	698	109
864	699	109
865	699	108
866	700	107
867	701	106
868	701	105
869	702	104
870	702	104
871	703	103
872	704	102
873	704	101
874	705	100
875	706	99
876	706	99
877	707	98
878	707	97
879	708	96
880	709	95
881	709	94
882	710	94
883	710	93
884	711	92
885	712	91
886	712	90
887	713	89
888	713	89
889	714	88
890	714	87
891	715	86
892	716	85
893	716	84
894	717	84
895	718	83
896	718	82
897	719	81
898	719	80
899	720	80
900	720	79
901	721	78
902	722	77
903	722	76
904	723	75
905	723	75
906	724	74
907	725	73
908	725	72
909	726	71
910	726	71
911	727	70
912	728	69
913	728	68
914	729	67
915	729	66
916	730	66
917	731	65
918	731	64
919	732	63
920	732	62
921	733	62
922	734	61
923	734	60
924	735	59
925	735	58
926	736	58
927	737	57
928	737	56
929	738	55
930	738	54
931	739	53
932	740	53
933	740	52
934	741	51
935	741	50
936	742	49
937	743	49
938	743	48
939	744	47
940	744	46
941	745	45
942	746	45
943	746	44
944	747	43
945	748	42
946	748	41
947	749	41
948	749	40
949	750	39
950	751	38
951	751	37
952	752	37
953	752	36
954	753	35
955	754	34
956	754	33
957	755	33
958	756	32
959	756	31
960	757	30
961	757	29
962	758	29
963	758	28
964	759	27
965	760	26
966	760	25
967	761	25
968	761	24
969	762	23
970	763	22
971	763	21
972	764	21
973	764	20
974	765	19
975	765	18
976	766	18
977	767	17
978	767	16
979	768	15
980	768	14
981	769	14
982	769	13
983	770	12
984	771	11
985	771	10
986	772	10
987	772	9
988	773	8
989	774	7
990	774	7
991	775	6
992	776	5
993	776	4
994	777	3
995	778	3
996	778	2
997	779	1
998	779	0
999	780	0
