iter	Passed	Remaining
0	122	122457
1	124	62219
2	126	41973
3	128	31931
4	130	25954
5	133	22097
6	135	19178
7	137	17043
8	139	15389
9	141	14010
10	143	12885
11	144	11918
12	146	11101
13	148	10468
14	149	9846
15	151	9294
16	153	8856
17	155	8491
18	157	8149
19	159	7834
20	162	7552
21	164	7305
22	167	7100
23	169	6874
24	171	6688
25	173	6482
26	175	6324
27	177	6166
28	178	5986
29	179	5806
30	180	5633
31	181	5503
32	182	5359
33	184	5239
34	186	5130
35	187	5011
36	188	4909
37	190	4819
38	191	4728
39	193	4643
40	194	4555
41	196	4480
42	198	4406
43	199	4330
44	200	4264
45	202	4192
46	203	4127
47	204	4062
48	206	4002
49	207	3933
50	207	3865
51	208	3808
52	210	3754
53	211	3703
54	212	3653
55	213	3603
56	214	3555
57	216	3508
58	217	3465
59	218	3420
60	219	3378
61	220	3335
62	221	3293
63	222	3252
64	223	3211
65	224	3172
66	225	3134
67	225	3096
68	226	3060
69	227	3025
70	228	2990
71	229	2956
72	230	2922
73	231	2890
74	231	2860
75	232	2831
76	233	2800
77	234	2769
78	234	2739
79	235	2709
80	236	2681
81	236	2652
82	237	2621
83	238	2595
84	238	2568
85	239	2543
86	239	2517
87	240	2492
88	241	2468
89	241	2444
90	242	2419
91	242	2396
92	243	2372
93	243	2349
94	244	2327
95	244	2305
96	245	2283
97	245	2261
98	246	2241
99	246	2220
100	247	2200
101	247	2180
102	248	2161
103	248	2143
104	249	2125
105	249	2107
106	250	2090
107	250	2072
108	251	2055
109	252	2039
110	252	2023
111	253	2006
112	253	1990
113	254	1975
114	254	1960
115	255	1945
116	255	1930
117	256	1915
118	256	1901
119	257	1887
120	257	1873
121	258	1859
122	258	1846
123	259	1832
124	260	1820
125	260	1807
126	261	1794
127	261	1781
128	262	1769
129	262	1757
130	263	1745
131	263	1734
132	264	1722
133	264	1710
134	265	1699
135	265	1688
136	266	1677
137	266	1666
138	267	1655
139	267	1644
140	268	1634
141	268	1623
142	269	1613
143	269	1603
144	270	1594
145	271	1585
146	271	1576
147	272	1567
148	272	1558
149	273	1549
150	273	1540
151	274	1532
152	275	1523
153	275	1514
154	276	1506
155	276	1498
156	277	1489
157	278	1481
158	278	1473
159	279	1465
160	279	1457
161	280	1449
162	280	1441
163	281	1433
164	281	1426
165	282	1419
166	283	1411
167	283	1404
168	284	1396
169	284	1389
170	285	1382
171	285	1375
172	286	1368
173	286	1361
174	287	1354
175	287	1348
176	288	1341
177	289	1334
178	289	1328
179	290	1322
180	290	1316
181	291	1309
182	291	1303
183	292	1297
184	292	1290
185	293	1284
186	293	1277
187	294	1271
188	294	1265
189	295	1259
190	295	1252
191	296	1246
192	296	1240
193	297	1235
194	297	1229
195	298	1223
196	298	1218
197	299	1212
198	299	1206
199	300	1201
200	300	1195
201	301	1190
202	301	1185
203	302	1179
204	302	1174
205	303	1169
206	303	1164
207	304	1159
208	304	1154
209	305	1148
210	305	1143
211	306	1138
212	306	1133
213	307	1128
214	307	1123
215	308	1118
216	308	1113
217	309	1109
218	309	1104
219	310	1099
220	310	1094
221	311	1090
222	311	1085
223	312	1081
224	312	1076
225	313	1072
226	313	1068
227	314	1063
228	314	1059
229	315	1055
230	315	1051
231	316	1047
232	316	1042
233	317	1038
234	317	1034
235	318	1030
236	318	1026
237	319	1022
238	319	1018
239	320	1014
240	320	1010
241	321	1006
242	321	1002
243	322	998
244	322	994
245	323	990
246	323	987
247	324	983
248	324	979
249	325	975
250	325	972
251	326	968
252	326	964
253	327	961
254	327	957
255	328	953
256	328	950
257	329	947
258	329	943
259	330	940
260	330	936
261	331	933
262	331	930
263	332	926
264	332	923
265	333	920
266	333	916
267	334	913
268	334	909
269	335	906
270	335	903
271	336	900
272	336	897
273	337	894
274	338	891
275	338	888
276	339	885
277	339	882
278	340	879
279	340	876
280	341	873
281	341	870
282	342	866
283	342	863
284	343	860
285	343	858
286	344	855
287	344	852
288	345	849
289	345	846
290	346	843
291	346	841
292	347	838
293	347	835
294	348	832
295	348	829
296	349	827
297	349	824
298	350	821
299	351	819
300	351	816
301	352	813
302	352	811
303	353	808
304	353	805
305	354	803
306	354	800
307	355	797
308	355	795
309	356	792
310	356	789
311	357	787
312	357	784
313	357	782
314	358	779
315	359	777
316	359	775
317	360	772
318	360	770
319	361	768
320	361	765
321	362	763
322	363	761
323	363	758
324	364	756
325	364	754
326	365	751
327	366	750
328	366	747
329	367	745
330	367	743
331	368	741
332	368	738
333	369	736
334	369	734
335	370	732
336	371	730
337	371	727
338	372	725
339	372	723
340	373	721
341	374	719
342	374	717
343	375	715
344	375	713
345	376	711
346	376	708
347	377	706
348	377	704
349	378	702
350	378	700
351	379	698
352	379	696
353	380	694
354	380	692
355	381	690
356	382	688
357	382	686
358	383	684
359	383	681
360	384	679
361	384	678
362	385	676
363	386	674
364	386	672
365	387	670
366	387	668
367	388	666
368	388	665
369	389	663
370	390	661
371	391	660
372	391	658
373	392	656
374	393	655
375	393	653
376	394	651
377	394	649
378	395	648
379	396	646
380	396	644
381	397	642
382	397	641
383	398	639
384	399	637
385	399	635
